DatasetID,PathID,PathString,node_t1,node_t2,node_p_depol_1q,node_p_depol_2q,node_coh1_angle,node_coh2_zz_angle,node_src_visibility,node_src_phase,edge_length,edge_attenuation,edge_insertion_loss_db,d1_coupling_1,d1_coupling_2,d1_mzi_phase_error,d1_mzi_loss_short,d1_mzi_loss_long,d1_bs1_reflectivity,d1_bs1_loss,d1_bs2_reflectivity,d1_bs2_loss,d1_snspd1_efficiency,d1_snspd1_jitter,d1_snspd1_dark,d1_snspd1_dead,d1_snspd2_efficiency,d1_snspd2_jitter,d1_snspd2_dark,d1_snspd2_dead,d2_coupling_1,d2_coupling_2,d2_mzi_phase_error,d2_mzi_loss_short,d2_mzi_loss_long,d2_bs1_reflectivity,d2_bs1_loss,d2_bs2_reflectivity,d2_bs2_loss,d2_snspd1_efficiency,d2_snspd1_jitter,d2_snspd1_dark,d2_snspd1_dead,d2_snspd2_efficiency,d2_snspd2_jitter,d2_snspd2_dark,d2_snspd2_dead
14,1,n1->n2->n3->n4->n5->n6->n7->n8->n9->n10,4.47941e+11|2.03463e+11|4.31622e+09|2.88153e+11|1.03269e+09|1.67065e+12|1.4131e+11|1.33116e+12|3.94356e+13|2.71907e+12,8.44609e+10|1.44461e+11|2.09276e+09|2.26671e+11|1.49256e+08|6.05387e+11|4.37662e+10|1.48981e+11|1.76075e+13|2.20209e+12,0.00018116|0.000614716|7.08424e-05|0.000224036|0.000108638|7.27237e-05|8.01966e-05|0.000207968|0.000562676|1.02606e-05,0.000556548|0.00329988|0.000198171|0.000739952|0.00132412|0.00151558|0.000755178|0.00052848|0.000208981|0.00127256,0.0110367|0.015982|0.0499051|0.0258347|0.0171676|0.0347519|0.0105185|0.0464882|0.045209|0.0356266,0.0328197|0.00190448|0.0466614|0.00193008|0.00139672|0.0286122|0.0362419|0.0468038|0.0330795|0.000686844,0.937421|0.987907|0.993348|0.958094|0.970642|0.952965|0.91263|0.980363|0.928811|0.972443,0.990308|6.233|0.904127|5.40175|1.52634|2.73996|5.7096|3.5679|6.26945|4.09317,79.8117|37.015|10.4739|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.194959|0.17009|0.160232|0.239161|0.182452|0.202308|0.212992|0.215507|0.196343,0.221045|0.15385|0.677084|0.654954|0.549344|0.259841|0.576695|0.468723|0.401737,0.961762,0.886352,0.137261,0.193401,0.87635,0.531591,0.0311747,0.503168,0.196105,0.889187,45.1237,5.96168e-10,73074,0.973857,86.1607,1.85578e-10,75307,0.929216,0.977372,0.0920115,0.0752884,0.582564,0.460284,0.28479,0.514667,0.166694,0.835608,56.419,2.3449e-12,70785,0.908794,54.9376,1.02557e-12,57317
14,2,n1->n2->n12->n13->n14->n4->n5->n6->n7->n8->n9->n10,4.47941e+11|2.03463e+11|5.3293e+10|1.87807e+10|9.47373e+12|2.88153e+11|1.03269e+09|1.67065e+12|1.4131e+11|1.33116e+12|3.94356e+13|2.71907e+12,8.44609e+10|1.44461e+11|3.97712e+10|2.38682e+09|2.34417e+12|2.26671e+11|1.49256e+08|6.05387e+11|4.37662e+10|1.48981e+11|1.76075e+13|2.20209e+12,0.00018116|0.000614716|4.07142e-05|2.09107e-05|3.09047e-05|0.000224036|0.000108638|7.27237e-05|8.01966e-05|0.000207968|0.000562676|1.02606e-05,0.000556548|0.00329988|0.000639293|0.000651273|0.00337191|0.000739952|0.00132412|0.00151558|0.000755178|0.00052848|0.000208981|0.00127256,0.0110367|0.015982|0.0149958|0.0387938|0.00119531|0.0258347|0.0171676|0.0347519|0.0105185|0.0464882|0.045209|0.0356266,0.0328197|0.00190448|0.0328356|0.0270809|0.0407796|0.00193008|0.00139672|0.0286122|0.0362419|0.0468038|0.0330795|0.000686844,0.937421|0.987907|0.977351|0.905061|0.976405|0.958094|0.970642|0.952965|0.91263|0.980363|0.928811|0.972443,0.990308|6.233|1.03255|3.92754|5.57938|5.40175|1.52634|2.73996|5.7096|3.5679|6.26945|4.09317,79.8117|88.6198|13.9548|56.34|52.1141|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.194959|0.239344|0.169935|0.164573|0.215184|0.239161|0.182452|0.202308|0.212992|0.215507|0.196343,0.221045|0.898883|0.601335|0.950686|0.434333|0.654954|0.549344|0.259841|0.576695|0.468723|0.401737,0.961762,0.886352,0.137261,0.193401,0.87635,0.531591,0.0311747,0.503168,0.196105,0.889187,45.1237,5.96168e-10,73074,0.973857,86.1607,1.85578e-10,75307,0.929216,0.977372,0.0920115,0.0752884,0.582564,0.460284,0.28479,0.514667,0.166694,0.835608,56.419,2.3449e-12,70785,0.908794,54.9376,1.02557e-12,57317
14,3,n1->n2->n12->n13->n3->n4->n5->n6->n7->n8->n9->n10,4.47941e+11|2.03463e+11|5.3293e+10|1.87807e+10|4.31622e+09|2.88153e+11|1.03269e+09|1.67065e+12|1.4131e+11|1.33116e+12|3.94356e+13|2.71907e+12,8.44609e+10|1.44461e+11|3.97712e+10|2.38682e+09|2.09276e+09|2.26671e+11|1.49256e+08|6.05387e+11|4.37662e+10|1.48981e+11|1.76075e+13|2.20209e+12,0.00018116|0.000614716|4.07142e-05|2.09107e-05|7.08424e-05|0.000224036|0.000108638|7.27237e-05|8.01966e-05|0.000207968|0.000562676|1.02606e-05,0.000556548|0.00329988|0.000639293|0.000651273|0.000198171|0.000739952|0.00132412|0.00151558|0.000755178|0.00052848|0.000208981|0.00127256,0.0110367|0.015982|0.0149958|0.0387938|0.0499051|0.0258347|0.0171676|0.0347519|0.0105185|0.0464882|0.045209|0.0356266,0.0328197|0.00190448|0.0328356|0.0270809|0.0466614|0.00193008|0.00139672|0.0286122|0.0362419|0.0468038|0.0330795|0.000686844,0.937421|0.987907|0.977351|0.905061|0.993348|0.958094|0.970642|0.952965|0.91263|0.980363|0.928811|0.972443,0.990308|6.233|1.03255|3.92754|0.904127|5.40175|1.52634|2.73996|5.7096|3.5679|6.26945|4.09317,79.8117|88.6198|13.9548|83.9106|10.4739|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.194959|0.239344|0.169935|0.168431|0.160232|0.239161|0.182452|0.202308|0.212992|0.215507|0.196343,0.221045|0.898883|0.601335|0.829127|0.677084|0.654954|0.549344|0.259841|0.576695|0.468723|0.401737,0.961762,0.886352,0.137261,0.193401,0.87635,0.531591,0.0311747,0.503168,0.196105,0.889187,45.1237,5.96168e-10,73074,0.973857,86.1607,1.85578e-10,75307,0.929216,0.977372,0.0920115,0.0752884,0.582564,0.460284,0.28479,0.514667,0.166694,0.835608,56.419,2.3449e-12,70785,0.908794,54.9376,1.02557e-12,57317
14,4,n1->n11->n12->n2->n3->n4->n5->n6->n7->n8->n9->n10,4.47941e+11|2.36482e+10|5.3293e+10|2.03463e+11|4.31622e+09|2.88153e+11|1.03269e+09|1.67065e+12|1.4131e+11|1.33116e+12|3.94356e+13|2.71907e+12,8.44609e+10|1.15543e+10|3.97712e+10|1.44461e+11|2.09276e+09|2.26671e+11|1.49256e+08|6.05387e+11|4.37662e+10|1.48981e+11|1.76075e+13|2.20209e+12,0.00018116|1.82727e-05|4.07142e-05|0.000614716|7.08424e-05|0.000224036|0.000108638|7.27237e-05|8.01966e-05|0.000207968|0.000562676|1.02606e-05,0.000556548|0.00444707|0.000639293|0.00329988|0.000198171|0.000739952|0.00132412|0.00151558|0.000755178|0.00052848|0.000208981|0.00127256,0.0110367|0.0433113|0.0149958|0.015982|0.0499051|0.0258347|0.0171676|0.0347519|0.0105185|0.0464882|0.045209|0.0356266,0.0328197|0.0242738|0.0328356|0.00190448|0.0466614|0.00193008|0.00139672|0.0286122|0.0362419|0.0468038|0.0330795|0.000686844,0.937421|0.948207|0.977351|0.987907|0.993348|0.958094|0.970642|0.952965|0.91263|0.980363|0.928811|0.972443,0.990308|2.52618|1.03255|6.233|0.904127|5.40175|1.52634|2.73996|5.7096|3.5679|6.26945|4.09317,30.2686|24.4191|88.6198|37.015|10.4739|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.192642|0.210918|0.239344|0.17009|0.160232|0.239161|0.182452|0.202308|0.212992|0.215507|0.196343,0.460179|0.232661|0.898883|0.15385|0.677084|0.654954|0.549344|0.259841|0.576695|0.468723|0.401737,0.961762,0.886352,0.137261,0.193401,0.87635,0.531591,0.0311747,0.503168,0.196105,0.889187,45.1237,5.96168e-10,73074,0.973857,86.1607,1.85578e-10,75307,0.929216,0.977372,0.0920115,0.0752884,0.582564,0.460284,0.28479,0.514667,0.166694,0.835608,56.419,2.3449e-12,70785,0.908794,54.9376,1.02557e-12,57317
14,5,n1->n2->n12->n13->n14->n15->n5->n6->n7->n8->n9->n10,4.47941e+11|2.03463e+11|5.3293e+10|1.87807e+10|9.47373e+12|2.80156e+09|1.03269e+09|1.67065e+12|1.4131e+11|1.33116e+12|3.94356e+13|2.71907e+12,8.44609e+10|1.44461e+11|3.97712e+10|2.38682e+09|2.34417e+12|3.59053e+08|1.49256e+08|6.05387e+11|4.37662e+10|1.48981e+11|1.76075e+13|2.20209e+12,0.00018116|0.000614716|4.07142e-05|2.09107e-05|3.09047e-05|0.000556552|0.000108638|7.27237e-05|8.01966e-05|0.000207968|0.000562676|1.02606e-05,0.000556548|0.00329988|0.000639293|0.000651273|0.00337191|0.00089233|0.00132412|0.00151558|0.000755178|0.00052848|0.000208981|0.00127256,0.0110367|0.015982|0.0149958|0.0387938|0.00119531|0.0196169|0.0171676|0.0347519|0.0105185|0.0464882|0.045209|0.0356266,0.0328197|0.00190448|0.0328356|0.0270809|0.0407796|0.0286647|0.00139672|0.0286122|0.0362419|0.0468038|0.0330795|0.000686844,0.937421|0.987907|0.977351|0.905061|0.976405|0.905565|0.970642|0.952965|0.91263|0.980363|0.928811|0.972443,0.990308|6.233|1.03255|3.92754|5.57938|4.04459|1.52634|2.73996|5.7096|3.5679|6.26945|4.09317,79.8117|88.6198|13.9548|56.34|92.5451|35.0583|37.2729|32.9383|55.4093|99.595|65.9961,0.194959|0.239344|0.169935|0.164573|0.209021|0.172035|0.182452|0.202308|0.212992|0.215507|0.196343,0.221045|0.898883|0.601335|0.950686|0.313379|0.705002|0.549344|0.259841|0.576695|0.468723|0.401737,0.961762,0.886352,0.137261,0.193401,0.87635,0.531591,0.0311747,0.503168,0.196105,0.889187,45.1237,5.96168e-10,73074,0.973857,86.1607,1.85578e-10,75307,0.929216,0.977372,0.0920115,0.0752884,0.582564,0.460284,0.28479,0.514667,0.166694,0.835608,56.419,2.3449e-12,70785,0.908794,54.9376,1.02557e-12,57317
14,6,n1->n11->n12->n13->n3->n4->n5->n6->n7->n8->n9->n10,4.47941e+11|2.36482e+10|5.3293e+10|1.87807e+10|4.31622e+09|2.88153e+11|1.03269e+09|1.67065e+12|1.4131e+11|1.33116e+12|3.94356e+13|2.71907e+12,8.44609e+10|1.15543e+10|3.97712e+10|2.38682e+09|2.09276e+09|2.26671e+11|1.49256e+08|6.05387e+11|4.37662e+10|1.48981e+11|1.76075e+13|2.20209e+12,0.00018116|1.82727e-05|4.07142e-05|2.09107e-05|7.08424e-05|0.000224036|0.000108638|7.27237e-05|8.01966e-05|0.000207968|0.000562676|1.02606e-05,0.000556548|0.00444707|0.000639293|0.000651273|0.000198171|0.000739952|0.00132412|0.00151558|0.000755178|0.00052848|0.000208981|0.00127256,0.0110367|0.0433113|0.0149958|0.0387938|0.0499051|0.0258347|0.0171676|0.0347519|0.0105185|0.0464882|0.045209|0.0356266,0.0328197|0.0242738|0.0328356|0.0270809|0.0466614|0.00193008|0.00139672|0.0286122|0.0362419|0.0468038|0.0330795|0.000686844,0.937421|0.948207|0.977351|0.905061|0.993348|0.958094|0.970642|0.952965|0.91263|0.980363|0.928811|0.972443,0.990308|2.52618|1.03255|3.92754|0.904127|5.40175|1.52634|2.73996|5.7096|3.5679|6.26945|4.09317,30.2686|24.4191|13.9548|83.9106|10.4739|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.192642|0.210918|0.169935|0.168431|0.160232|0.239161|0.182452|0.202308|0.212992|0.215507|0.196343,0.460179|0.232661|0.601335|0.829127|0.677084|0.654954|0.549344|0.259841|0.576695|0.468723|0.401737,0.961762,0.886352,0.137261,0.193401,0.87635,0.531591,0.0311747,0.503168,0.196105,0.889187,45.1237,5.96168e-10,73074,0.973857,86.1607,1.85578e-10,75307,0.929216,0.977372,0.0920115,0.0752884,0.582564,0.460284,0.28479,0.514667,0.166694,0.835608,56.419,2.3449e-12,70785,0.908794,54.9376,1.02557e-12,57317
14,7,n1->n2->n3->n4->n14->n15->n16->n6->n7->n8->n9->n10,4.47941e+11|2.03463e+11|4.31622e+09|2.88153e+11|9.47373e+12|2.80156e+09|5.31393e+13|1.67065e+12|1.4131e+11|1.33116e+12|3.94356e+13|2.71907e+12,8.44609e+10|1.44461e+11|2.09276e+09|2.26671e+11|2.34417e+12|3.59053e+08|2.51846e+13|6.05387e+11|4.37662e+10|1.48981e+11|1.76075e+13|2.20209e+12,0.00018116|0.000614716|7.08424e-05|0.000224036|3.09047e-05|0.000556552|8.49318e-05|7.27237e-05|8.01966e-05|0.000207968|0.000562676|1.02606e-05,0.000556548|0.00329988|0.000198171|0.000739952|0.00337191|0.00089233|0.00835145|0.00151558|0.000755178|0.00052848|0.000208981|0.00127256,0.0110367|0.015982|0.0499051|0.0258347|0.00119531|0.0196169|0.0344258|0.0347519|0.0105185|0.0464882|0.045209|0.0356266,0.0328197|0.00190448|0.0466614|0.00193008|0.0407796|0.0286647|0.00284802|0.0286122|0.0362419|0.0468038|0.0330795|0.000686844,0.937421|0.987907|0.993348|0.958094|0.976405|0.905565|0.963654|0.952965|0.91263|0.980363|0.928811|0.972443,0.990308|6.233|0.904127|5.40175|5.57938|4.04459|0.37508|2.73996|5.7096|3.5679|6.26945|4.09317,79.8117|37.015|10.4739|52.1141|92.5451|56.2706|50.0569|32.9383|55.4093|99.595|65.9961,0.194959|0.17009|0.160232|0.215184|0.209021|0.166296|0.212948|0.202308|0.212992|0.215507|0.196343,0.221045|0.15385|0.677084|0.434333|0.313379|0.557314|0.815795|0.259841|0.576695|0.468723|0.401737,0.961762,0.886352,0.137261,0.193401,0.87635,0.531591,0.0311747,0.503168,0.196105,0.889187,45.1237,5.96168e-10,73074,0.973857,86.1607,1.85578e-10,75307,0.929216,0.977372,0.0920115,0.0752884,0.582564,0.460284,0.28479,0.514667,0.166694,0.835608,56.419,2.3449e-12,70785,0.908794,54.9376,1.02557e-12,57317
14,8,n1->n11->n12->n13->n14->n15->n5->n6->n7->n8->n9->n10,4.47941e+11|2.36482e+10|5.3293e+10|1.87807e+10|9.47373e+12|2.80156e+09|1.03269e+09|1.67065e+12|1.4131e+11|1.33116e+12|3.94356e+13|2.71907e+12,8.44609e+10|1.15543e+10|3.97712e+10|2.38682e+09|2.34417e+12|3.59053e+08|1.49256e+08|6.05387e+11|4.37662e+10|1.48981e+11|1.76075e+13|2.20209e+12,0.00018116|1.82727e-05|4.07142e-05|2.09107e-05|3.09047e-05|0.000556552|0.000108638|7.27237e-05|8.01966e-05|0.000207968|0.000562676|1.02606e-05,0.000556548|0.00444707|0.000639293|0.000651273|0.00337191|0.00089233|0.00132412|0.00151558|0.000755178|0.00052848|0.000208981|0.00127256,0.0110367|0.0433113|0.0149958|0.0387938|0.00119531|0.0196169|0.0171676|0.0347519|0.0105185|0.0464882|0.045209|0.0356266,0.0328197|0.0242738|0.0328356|0.0270809|0.0407796|0.0286647|0.00139672|0.0286122|0.0362419|0.0468038|0.0330795|0.000686844,0.937421|0.948207|0.977351|0.905061|0.976405|0.905565|0.970642|0.952965|0.91263|0.980363|0.928811|0.972443,0.990308|2.52618|1.03255|3.92754|5.57938|4.04459|1.52634|2.73996|5.7096|3.5679|6.26945|4.09317,30.2686|24.4191|13.9548|56.34|92.5451|35.0583|37.2729|32.9383|55.4093|99.595|65.9961,0.192642|0.210918|0.169935|0.164573|0.209021|0.172035|0.182452|0.202308|0.212992|0.215507|0.196343,0.460179|0.232661|0.601335|0.950686|0.313379|0.705002|0.549344|0.259841|0.576695|0.468723|0.401737,0.961762,0.886352,0.137261,0.193401,0.87635,0.531591,0.0311747,0.503168,0.196105,0.889187,45.1237,5.96168e-10,73074,0.973857,86.1607,1.85578e-10,75307,0.929216,0.977372,0.0920115,0.0752884,0.582564,0.460284,0.28479,0.514667,0.166694,0.835608,56.419,2.3449e-12,70785,0.908794,54.9376,1.02557e-12,57317
14,9,n1->n2->n3->n4->n5->n15->n16->n6->n7->n8->n9->n10,4.47941e+11|2.03463e+11|4.31622e+09|2.88153e+11|1.03269e+09|2.80156e+09|5.31393e+13|1.67065e+12|1.4131e+11|1.33116e+12|3.94356e+13|2.71907e+12,8.44609e+10|1.44461e+11|2.09276e+09|2.26671e+11|1.49256e+08|3.59053e+08|2.51846e+13|6.05387e+11|4.37662e+10|1.48981e+11|1.76075e+13|2.20209e+12,0.00018116|0.000614716|7.08424e-05|0.000224036|0.000108638|0.000556552|8.49318e-05|7.27237e-05|8.01966e-05|0.000207968|0.000562676|1.02606e-05,0.000556548|0.00329988|0.000198171|0.000739952|0.00132412|0.00089233|0.00835145|0.00151558|0.000755178|0.00052848|0.000208981|0.00127256,0.0110367|0.015982|0.0499051|0.0258347|0.0171676|0.0196169|0.0344258|0.0347519|0.0105185|0.0464882|0.045209|0.0356266,0.0328197|0.00190448|0.0466614|0.00193008|0.00139672|0.0286647|0.00284802|0.0286122|0.0362419|0.0468038|0.0330795|0.000686844,0.937421|0.987907|0.993348|0.958094|0.970642|0.905565|0.963654|0.952965|0.91263|0.980363|0.928811|0.972443,0.990308|6.233|0.904127|5.40175|1.52634|4.04459|0.37508|2.73996|5.7096|3.5679|6.26945|4.09317,79.8117|37.015|10.4739|81.7362|35.0583|56.2706|50.0569|32.9383|55.4093|99.595|65.9961,0.194959|0.17009|0.160232|0.239161|0.172035|0.166296|0.212948|0.202308|0.212992|0.215507|0.196343,0.221045|0.15385|0.677084|0.654954|0.705002|0.557314|0.815795|0.259841|0.576695|0.468723|0.401737,0.961762,0.886352,0.137261,0.193401,0.87635,0.531591,0.0311747,0.503168,0.196105,0.889187,45.1237,5.96168e-10,73074,0.973857,86.1607,1.85578e-10,75307,0.929216,0.977372,0.0920115,0.0752884,0.582564,0.460284,0.28479,0.514667,0.166694,0.835608,56.419,2.3449e-12,70785,0.908794,54.9376,1.02557e-12,57317
14,10,n1->n2->n3->n13->n14->n4->n5->n6->n7->n8->n9->n10,4.47941e+11|2.03463e+11|4.31622e+09|1.87807e+10|9.47373e+12|2.88153e+11|1.03269e+09|1.67065e+12|1.4131e+11|1.33116e+12|3.94356e+13|2.71907e+12,8.44609e+10|1.44461e+11|2.09276e+09|2.38682e+09|2.34417e+12|2.26671e+11|1.49256e+08|6.05387e+11|4.37662e+10|1.48981e+11|1.76075e+13|2.20209e+12,0.00018116|0.000614716|7.08424e-05|2.09107e-05|3.09047e-05|0.000224036|0.000108638|7.27237e-05|8.01966e-05|0.000207968|0.000562676|1.02606e-05,0.000556548|0.00329988|0.000198171|0.000651273|0.00337191|0.000739952|0.00132412|0.00151558|0.000755178|0.00052848|0.000208981|0.00127256,0.0110367|0.015982|0.0499051|0.0387938|0.00119531|0.0258347|0.0171676|0.0347519|0.0105185|0.0464882|0.045209|0.0356266,0.0328197|0.00190448|0.0466614|0.0270809|0.0407796|0.00193008|0.00139672|0.0286122|0.0362419|0.0468038|0.0330795|0.000686844,0.937421|0.987907|0.993348|0.905061|0.976405|0.958094|0.970642|0.952965|0.91263|0.980363|0.928811|0.972443,0.990308|6.233|0.904127|3.92754|5.57938|5.40175|1.52634|2.73996|5.7096|3.5679|6.26945|4.09317,79.8117|37.015|83.9106|56.34|52.1141|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.194959|0.17009|0.168431|0.164573|0.215184|0.239161|0.182452|0.202308|0.212992|0.215507|0.196343,0.221045|0.15385|0.829127|0.950686|0.434333|0.654954|0.549344|0.259841|0.576695|0.468723|0.401737,0.961762,0.886352,0.137261,0.193401,0.87635,0.531591,0.0311747,0.503168,0.196105,0.889187,45.1237,5.96168e-10,73074,0.973857,86.1607,1.85578e-10,75307,0.929216,0.977372,0.0920115,0.0752884,0.582564,0.460284,0.28479,0.514667,0.166694,0.835608,56.419,2.3449e-12,70785,0.908794,54.9376,1.02557e-12,57317
14,11,n1->n2->n3->n13->n14->n15->n16->n6->n7->n8->n9->n10,4.47941e+11|2.03463e+11|4.31622e+09|1.87807e+10|9.47373e+12|2.80156e+09|5.31393e+13|1.67065e+12|1.4131e+11|1.33116e+12|3.94356e+13|2.71907e+12,8.44609e+10|1.44461e+11|2.09276e+09|2.38682e+09|2.34417e+12|3.59053e+08|2.51846e+13|6.05387e+11|4.37662e+10|1.48981e+11|1.76075e+13|2.20209e+12,0.00018116|0.000614716|7.08424e-05|2.09107e-05|3.09047e-05|0.000556552|8.49318e-05|7.27237e-05|8.01966e-05|0.000207968|0.000562676|1.02606e-05,0.000556548|0.00329988|0.000198171|0.000651273|0.00337191|0.00089233|0.00835145|0.00151558|0.000755178|0.00052848|0.000208981|0.00127256,0.0110367|0.015982|0.0499051|0.0387938|0.00119531|0.0196169|0.0344258|0.0347519|0.0105185|0.0464882|0.045209|0.0356266,0.0328197|0.00190448|0.0466614|0.0270809|0.0407796|0.0286647|0.00284802|0.0286122|0.0362419|0.0468038|0.0330795|0.000686844,0.937421|0.987907|0.993348|0.905061|0.976405|0.905565|0.963654|0.952965|0.91263|0.980363|0.928811|0.972443,0.990308|6.233|0.904127|3.92754|5.57938|4.04459|0.37508|2.73996|5.7096|3.5679|6.26945|4.09317,79.8117|37.015|83.9106|56.34|92.5451|56.2706|50.0569|32.9383|55.4093|99.595|65.9961,0.194959|0.17009|0.168431|0.164573|0.209021|0.166296|0.212948|0.202308|0.212992|0.215507|0.196343,0.221045|0.15385|0.829127|0.950686|0.313379|0.557314|0.815795|0.259841|0.576695|0.468723|0.401737,0.961762,0.886352,0.137261,0.193401,0.87635,0.531591,0.0311747,0.503168,0.196105,0.889187,45.1237,5.96168e-10,73074,0.973857,86.1607,1.85578e-10,75307,0.929216,0.977372,0.0920115,0.0752884,0.582564,0.460284,0.28479,0.514667,0.166694,0.835608,56.419,2.3449e-12,70785,0.908794,54.9376,1.02557e-12,57317
