DatasetID,PathID,PathString,node_t1,node_t2,node_p_depol_1q,node_p_depol_2q,node_coh1_angle,node_coh2_zz_angle,node_src_visibility,node_src_phase,edge_length,edge_attenuation,edge_insertion_loss_db,d1_coupling_1,d1_coupling_2,d1_mzi_phase_error,d1_mzi_loss_short,d1_mzi_loss_long,d1_bs1_reflectivity,d1_bs1_loss,d1_bs2_reflectivity,d1_bs2_loss,d1_snspd1_efficiency,d1_snspd1_jitter,d1_snspd1_dark,d1_snspd1_dead,d1_snspd2_efficiency,d1_snspd2_jitter,d1_snspd2_dark,d1_snspd2_dead,d2_coupling_1,d2_coupling_2,d2_mzi_phase_error,d2_mzi_loss_short,d2_mzi_loss_long,d2_bs1_reflectivity,d2_bs1_loss,d2_bs2_reflectivity,d2_bs2_loss,d2_snspd1_efficiency,d2_snspd1_jitter,d2_snspd1_dark,d2_snspd1_dead,d2_snspd2_efficiency,d2_snspd2_jitter,d2_snspd2_dark,d2_snspd2_dead
10,1,n1->n2->n3->n4->n5->n6->n7->n8->n9->n10,5.00949e+11|1.80448e+11|4.03193e+13|1.24903e+13|1.51209e+10|9.02929e+10|4.11056e+10|9.40752e+09|4.09299e+12|1.05286e+12,1.42812e+11|2.83365e+10|7.28384e+12|5.17319e+12|1.22326e+10|1.02249e+10|4.31733e+09|3.97206e+09|1.54858e+12|2.54031e+11,3.0181e-05|2.2775e-05|0.000517639|0.000108675|0.000336804|0.000995263|0.000205358|0.000346789|1.37772e-05|0.000119811,0.000310334|0.000399313|0.000530329|0.000509645|0.000821598|0.00674185|0.00168599|0.000202733|0.00405437|0.0025508,0.00924861|0.00541507|0.00720975|0.00375279|0.0477712|0.0292399|0.0452155|0.0159192|0.0461418|0.0252238,0.0315742|0.00943238|0.0402354|0.0495486|0.00263917|0.0108922|0.0238427|0.04339|0.00266386|0.00700942,0.913495|0.989114|0.905667|0.916604|0.984899|0.926294|0.932747|0.948026|0.911519|0.908496,2.71048|4.18964|2.54377|1.60415|0.379676|2.82456|3.21396|3.34163|4.41064|2.75743,79.8117|37.015|10.4739|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.202212|0.202219|0.212578|0.223931|0.218852|0.177423|0.21027|0.169273|0.243547,0.147038|0.790314|0.554145|0.801699|0.233286|0.668561|0.673098|0.23207|0.928618,0.904667,0.887647,0.128239,0.443169,0.0828321,0.54922,0.253495,0.516004,0.226897,0.823074,78.9323,6.77635e-13,54008,0.832037,77.8406,9.63242e-13,32789,0.821844,0.944121,0.0443767,0.51828,0.332244,0.52747,0.0679451,0.544083,0.096402,0.818693,31.6275,1.97589e-13,52186,0.845045,89.7441,1.17089e-11,31003
10,2,n1->n2->n12->n13->n14->n4->n5->n6->n7->n8->n9->n10,5.00949e+11|1.80448e+11|3.17333e+12|3.3596e+12|4.27688e+09|1.24903e+13|1.51209e+10|9.02929e+10|4.11056e+10|9.40752e+09|4.09299e+12|1.05286e+12,1.42812e+11|2.83365e+10|1.97587e+12|4.83085e+11|1.0558e+09|5.17319e+12|1.22326e+10|1.02249e+10|4.31733e+09|3.97206e+09|1.54858e+12|2.54031e+11,3.0181e-05|2.2775e-05|4.47077e-05|5.37832e-05|0.000636693|0.000108675|0.000336804|0.000995263|0.000205358|0.000346789|1.37772e-05|0.000119811,0.000310334|0.000399313|0.000744915|0.00012197|0.00566749|0.000509645|0.000821598|0.00674185|0.00168599|0.000202733|0.00405437|0.0025508,0.00924861|0.00541507|0.00841709|0.0278304|0.0161796|0.00375279|0.0477712|0.0292399|0.0452155|0.0159192|0.0461418|0.0252238,0.0315742|0.00943238|0.0482252|0.0497469|0.0339305|0.0495486|0.00263917|0.0108922|0.0238427|0.04339|0.00266386|0.00700942,0.913495|0.989114|0.908177|0.940839|0.984185|0.916604|0.984899|0.926294|0.932747|0.948026|0.911519|0.908496,2.71048|4.18964|4.07787|6.22041|4.81843|1.60415|0.379676|2.82456|3.21396|3.34163|4.41064|2.75743,79.8117|88.6198|13.9548|56.34|52.1141|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.202212|0.16902|0.245775|0.177304|0.23004|0.223931|0.218852|0.177423|0.21027|0.169273|0.243547,0.147038|0.7617|0.861041|0.349691|0.342514|0.801699|0.233286|0.668561|0.673098|0.23207|0.928618,0.904667,0.887647,0.128239,0.443169,0.0828321,0.54922,0.253495,0.516004,0.226897,0.823074,78.9323,6.77635e-13,54008,0.832037,77.8406,9.63242e-13,32789,0.821844,0.944121,0.0443767,0.51828,0.332244,0.52747,0.0679451,0.544083,0.096402,0.818693,31.6275,1.97589e-13,52186,0.845045,89.7441,1.17089e-11,31003
10,3,n1->n2->n12->n13->n3->n4->n5->n6->n7->n8->n9->n10,5.00949e+11|1.80448e+11|3.17333e+12|3.3596e+12|4.03193e+13|1.24903e+13|1.51209e+10|9.02929e+10|4.11056e+10|9.40752e+09|4.09299e+12|1.05286e+12,1.42812e+11|2.83365e+10|1.97587e+12|4.83085e+11|7.28384e+12|5.17319e+12|1.22326e+10|1.02249e+10|4.31733e+09|3.97206e+09|1.54858e+12|2.54031e+11,3.0181e-05|2.2775e-05|4.47077e-05|5.37832e-05|0.000517639|0.000108675|0.000336804|0.000995263|0.000205358|0.000346789|1.37772e-05|0.000119811,0.000310334|0.000399313|0.000744915|0.00012197|0.000530329|0.000509645|0.000821598|0.00674185|0.00168599|0.000202733|0.00405437|0.0025508,0.00924861|0.00541507|0.00841709|0.0278304|0.00720975|0.00375279|0.0477712|0.0292399|0.0452155|0.0159192|0.0461418|0.0252238,0.0315742|0.00943238|0.0482252|0.0497469|0.0402354|0.0495486|0.00263917|0.0108922|0.0238427|0.04339|0.00266386|0.00700942,0.913495|0.989114|0.908177|0.940839|0.905667|0.916604|0.984899|0.926294|0.932747|0.948026|0.911519|0.908496,2.71048|4.18964|4.07787|6.22041|2.54377|1.60415|0.379676|2.82456|3.21396|3.34163|4.41064|2.75743,79.8117|88.6198|13.9548|83.9106|10.4739|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.202212|0.16902|0.245775|0.213953|0.212578|0.223931|0.218852|0.177423|0.21027|0.169273|0.243547,0.147038|0.7617|0.861041|0.402307|0.554145|0.801699|0.233286|0.668561|0.673098|0.23207|0.928618,0.904667,0.887647,0.128239,0.443169,0.0828321,0.54922,0.253495,0.516004,0.226897,0.823074,78.9323,6.77635e-13,54008,0.832037,77.8406,9.63242e-13,32789,0.821844,0.944121,0.0443767,0.51828,0.332244,0.52747,0.0679451,0.544083,0.096402,0.818693,31.6275,1.97589e-13,52186,0.845045,89.7441,1.17089e-11,31003
10,4,n1->n11->n12->n2->n3->n4->n5->n6->n7->n8->n9->n10,5.00949e+11|4.11551e+13|3.17333e+12|1.80448e+11|4.03193e+13|1.24903e+13|1.51209e+10|9.02929e+10|4.11056e+10|9.40752e+09|4.09299e+12|1.05286e+12,1.42812e+11|1.48663e+13|1.97587e+12|2.83365e+10|7.28384e+12|5.17319e+12|1.22326e+10|1.02249e+10|4.31733e+09|3.97206e+09|1.54858e+12|2.54031e+11,3.0181e-05|5.20523e-05|4.47077e-05|2.2775e-05|0.000517639|0.000108675|0.000336804|0.000995263|0.000205358|0.000346789|1.37772e-05|0.000119811,0.000310334|0.00656769|0.000744915|0.000399313|0.000530329|0.000509645|0.000821598|0.00674185|0.00168599|0.000202733|0.00405437|0.0025508,0.00924861|0.0194316|0.00841709|0.00541507|0.00720975|0.00375279|0.0477712|0.0292399|0.0452155|0.0159192|0.0461418|0.0252238,0.0315742|0.0254573|0.0482252|0.00943238|0.0402354|0.0495486|0.00263917|0.0108922|0.0238427|0.04339|0.00266386|0.00700942,0.913495|0.911067|0.908177|0.989114|0.905667|0.916604|0.984899|0.926294|0.932747|0.948026|0.911519|0.908496,2.71048|4.63323|4.07787|4.18964|2.54377|1.60415|0.379676|2.82456|3.21396|3.34163|4.41064|2.75743,30.2686|24.4191|88.6198|37.015|10.4739|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.189746|0.163204|0.16902|0.202219|0.212578|0.223931|0.218852|0.177423|0.21027|0.169273|0.243547,0.114018|0.339009|0.7617|0.790314|0.554145|0.801699|0.233286|0.668561|0.673098|0.23207|0.928618,0.904667,0.887647,0.128239,0.443169,0.0828321,0.54922,0.253495,0.516004,0.226897,0.823074,78.9323,6.77635e-13,54008,0.832037,77.8406,9.63242e-13,32789,0.821844,0.944121,0.0443767,0.51828,0.332244,0.52747,0.0679451,0.544083,0.096402,0.818693,31.6275,1.97589e-13,52186,0.845045,89.7441,1.17089e-11,31003
10,5,n1->n2->n12->n13->n14->n15->n5->n6->n7->n8->n9->n10,5.00949e+11|1.80448e+11|3.17333e+12|3.3596e+12|4.27688e+09|1.38797e+12|1.51209e+10|9.02929e+10|4.11056e+10|9.40752e+09|4.09299e+12|1.05286e+12,1.42812e+11|2.83365e+10|1.97587e+12|4.83085e+11|1.0558e+09|1.97223e+11|1.22326e+10|1.02249e+10|4.31733e+09|3.97206e+09|1.54858e+12|2.54031e+11,3.0181e-05|2.2775e-05|4.47077e-05|5.37832e-05|0.000636693|1.3996e-05|0.000336804|0.000995263|0.000205358|0.000346789|1.37772e-05|0.000119811,0.000310334|0.000399313|0.000744915|0.00012197|0.00566749|0.00169529|0.000821598|0.00674185|0.00168599|0.000202733|0.00405437|0.0025508,0.00924861|0.00541507|0.00841709|0.0278304|0.0161796|0.0250138|0.0477712|0.0292399|0.0452155|0.0159192|0.0461418|0.0252238,0.0315742|0.00943238|0.0482252|0.0497469|0.0339305|0.0119018|0.00263917|0.0108922|0.0238427|0.04339|0.00266386|0.00700942,0.913495|0.989114|0.908177|0.940839|0.984185|0.927813|0.984899|0.926294|0.932747|0.948026|0.911519|0.908496,2.71048|4.18964|4.07787|6.22041|4.81843|2.46356|0.379676|2.82456|3.21396|3.34163|4.41064|2.75743,79.8117|88.6198|13.9548|56.34|92.5451|35.0583|37.2729|32.9383|55.4093|99.595|65.9961,0.202212|0.16902|0.245775|0.177304|0.219123|0.204588|0.218852|0.177423|0.21027|0.169273|0.243547,0.147038|0.7617|0.861041|0.349691|0.854651|0.102366|0.233286|0.668561|0.673098|0.23207|0.928618,0.904667,0.887647,0.128239,0.443169,0.0828321,0.54922,0.253495,0.516004,0.226897,0.823074,78.9323,6.77635e-13,54008,0.832037,77.8406,9.63242e-13,32789,0.821844,0.944121,0.0443767,0.51828,0.332244,0.52747,0.0679451,0.544083,0.096402,0.818693,31.6275,1.97589e-13,52186,0.845045,89.7441,1.17089e-11,31003
10,6,n1->n11->n12->n13->n3->n4->n5->n6->n7->n8->n9->n10,5.00949e+11|4.11551e+13|3.17333e+12|3.3596e+12|4.03193e+13|1.24903e+13|1.51209e+10|9.02929e+10|4.11056e+10|9.40752e+09|4.09299e+12|1.05286e+12,1.42812e+11|1.48663e+13|1.97587e+12|4.83085e+11|7.28384e+12|5.17319e+12|1.22326e+10|1.02249e+10|4.31733e+09|3.97206e+09|1.54858e+12|2.54031e+11,3.0181e-05|5.20523e-05|4.47077e-05|5.37832e-05|0.000517639|0.000108675|0.000336804|0.000995263|0.000205358|0.000346789|1.37772e-05|0.000119811,0.000310334|0.00656769|0.000744915|0.00012197|0.000530329|0.000509645|0.000821598|0.00674185|0.00168599|0.000202733|0.00405437|0.0025508,0.00924861|0.0194316|0.00841709|0.0278304|0.00720975|0.00375279|0.0477712|0.0292399|0.0452155|0.0159192|0.0461418|0.0252238,0.0315742|0.0254573|0.0482252|0.0497469|0.0402354|0.0495486|0.00263917|0.0108922|0.0238427|0.04339|0.00266386|0.00700942,0.913495|0.911067|0.908177|0.940839|0.905667|0.916604|0.984899|0.926294|0.932747|0.948026|0.911519|0.908496,2.71048|4.63323|4.07787|6.22041|2.54377|1.60415|0.379676|2.82456|3.21396|3.34163|4.41064|2.75743,30.2686|24.4191|13.9548|83.9106|10.4739|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.189746|0.163204|0.245775|0.213953|0.212578|0.223931|0.218852|0.177423|0.21027|0.169273|0.243547,0.114018|0.339009|0.861041|0.402307|0.554145|0.801699|0.233286|0.668561|0.673098|0.23207|0.928618,0.904667,0.887647,0.128239,0.443169,0.0828321,0.54922,0.253495,0.516004,0.226897,0.823074,78.9323,6.77635e-13,54008,0.832037,77.8406,9.63242e-13,32789,0.821844,0.944121,0.0443767,0.51828,0.332244,0.52747,0.0679451,0.544083,0.096402,0.818693,31.6275,1.97589e-13,52186,0.845045,89.7441,1.17089e-11,31003
10,7,n1->n2->n3->n4->n14->n15->n16->n6->n7->n8->n9->n10,5.00949e+11|1.80448e+11|4.03193e+13|1.24903e+13|4.27688e+09|1.38797e+12|3.00334e+11|9.02929e+10|4.11056e+10|9.40752e+09|4.09299e+12|1.05286e+12,1.42812e+11|2.83365e+10|7.28384e+12|5.17319e+12|1.0558e+09|1.97223e+11|7.37672e+10|1.02249e+10|4.31733e+09|3.97206e+09|1.54858e+12|2.54031e+11,3.0181e-05|2.2775e-05|0.000517639|0.000108675|0.000636693|1.3996e-05|5.95091e-05|0.000995263|0.000205358|0.000346789|1.37772e-05|0.000119811,0.000310334|0.000399313|0.000530329|0.000509645|0.00566749|0.00169529|0.000170398|0.00674185|0.00168599|0.000202733|0.00405437|0.0025508,0.00924861|0.00541507|0.00720975|0.00375279|0.0161796|0.0250138|0.0432795|0.0292399|0.0452155|0.0159192|0.0461418|0.0252238,0.0315742|0.00943238|0.0402354|0.0495486|0.0339305|0.0119018|0.0304577|0.0108922|0.0238427|0.04339|0.00266386|0.00700942,0.913495|0.989114|0.905667|0.916604|0.984185|0.927813|0.91388|0.926294|0.932747|0.948026|0.911519|0.908496,2.71048|4.18964|2.54377|1.60415|4.81843|2.46356|2.66328|2.82456|3.21396|3.34163|4.41064|2.75743,79.8117|37.015|10.4739|52.1141|92.5451|56.2706|50.0569|32.9383|55.4093|99.595|65.9961,0.202212|0.202219|0.212578|0.23004|0.219123|0.226874|0.238693|0.177423|0.21027|0.169273|0.243547,0.147038|0.790314|0.554145|0.342514|0.854651|0.221237|0.144125|0.668561|0.673098|0.23207|0.928618,0.904667,0.887647,0.128239,0.443169,0.0828321,0.54922,0.253495,0.516004,0.226897,0.823074,78.9323,6.77635e-13,54008,0.832037,77.8406,9.63242e-13,32789,0.821844,0.944121,0.0443767,0.51828,0.332244,0.52747,0.0679451,0.544083,0.096402,0.818693,31.6275,1.97589e-13,52186,0.845045,89.7441,1.17089e-11,31003
10,8,n1->n11->n12->n13->n14->n15->n5->n6->n7->n8->n9->n10,5.00949e+11|4.11551e+13|3.17333e+12|3.3596e+12|4.27688e+09|1.38797e+12|1.51209e+10|9.02929e+10|4.11056e+10|9.40752e+09|4.09299e+12|1.05286e+12,1.42812e+11|1.48663e+13|1.97587e+12|4.83085e+11|1.0558e+09|1.97223e+11|1.22326e+10|1.02249e+10|4.31733e+09|3.97206e+09|1.54858e+12|2.54031e+11,3.0181e-05|5.20523e-05|4.47077e-05|5.37832e-05|0.000636693|1.3996e-05|0.000336804|0.000995263|0.000205358|0.000346789|1.37772e-05|0.000119811,0.000310334|0.00656769|0.000744915|0.00012197|0.00566749|0.00169529|0.000821598|0.00674185|0.00168599|0.000202733|0.00405437|0.0025508,0.00924861|0.0194316|0.00841709|0.0278304|0.0161796|0.0250138|0.0477712|0.0292399|0.0452155|0.0159192|0.0461418|0.0252238,0.0315742|0.0254573|0.0482252|0.0497469|0.0339305|0.0119018|0.00263917|0.0108922|0.0238427|0.04339|0.00266386|0.00700942,0.913495|0.911067|0.908177|0.940839|0.984185|0.927813|0.984899|0.926294|0.932747|0.948026|0.911519|0.908496,2.71048|4.63323|4.07787|6.22041|4.81843|2.46356|0.379676|2.82456|3.21396|3.34163|4.41064|2.75743,30.2686|24.4191|13.9548|56.34|92.5451|35.0583|37.2729|32.9383|55.4093|99.595|65.9961,0.189746|0.163204|0.245775|0.177304|0.219123|0.204588|0.218852|0.177423|0.21027|0.169273|0.243547,0.114018|0.339009|0.861041|0.349691|0.854651|0.102366|0.233286|0.668561|0.673098|0.23207|0.928618,0.904667,0.887647,0.128239,0.443169,0.0828321,0.54922,0.253495,0.516004,0.226897,0.823074,78.9323,6.77635e-13,54008,0.832037,77.8406,9.63242e-13,32789,0.821844,0.944121,0.0443767,0.51828,0.332244,0.52747,0.0679451,0.544083,0.096402,0.818693,31.6275,1.97589e-13,52186,0.845045,89.7441,1.17089e-11,31003
10,9,n1->n2->n3->n4->n5->n15->n16->n6->n7->n8->n9->n10,5.00949e+11|1.80448e+11|4.03193e+13|1.24903e+13|1.51209e+10|1.38797e+12|3.00334e+11|9.02929e+10|4.11056e+10|9.40752e+09|4.09299e+12|1.05286e+12,1.42812e+11|2.83365e+10|7.28384e+12|5.17319e+12|1.22326e+10|1.97223e+11|7.37672e+10|1.02249e+10|4.31733e+09|3.97206e+09|1.54858e+12|2.54031e+11,3.0181e-05|2.2775e-05|0.000517639|0.000108675|0.000336804|1.3996e-05|5.95091e-05|0.000995263|0.000205358|0.000346789|1.37772e-05|0.000119811,0.000310334|0.000399313|0.000530329|0.000509645|0.000821598|0.00169529|0.000170398|0.00674185|0.00168599|0.000202733|0.00405437|0.0025508,0.00924861|0.00541507|0.00720975|0.00375279|0.0477712|0.0250138|0.0432795|0.0292399|0.0452155|0.0159192|0.0461418|0.0252238,0.0315742|0.00943238|0.0402354|0.0495486|0.00263917|0.0119018|0.0304577|0.0108922|0.0238427|0.04339|0.00266386|0.00700942,0.913495|0.989114|0.905667|0.916604|0.984899|0.927813|0.91388|0.926294|0.932747|0.948026|0.911519|0.908496,2.71048|4.18964|2.54377|1.60415|0.379676|2.46356|2.66328|2.82456|3.21396|3.34163|4.41064|2.75743,79.8117|37.015|10.4739|81.7362|35.0583|56.2706|50.0569|32.9383|55.4093|99.595|65.9961,0.202212|0.202219|0.212578|0.223931|0.204588|0.226874|0.238693|0.177423|0.21027|0.169273|0.243547,0.147038|0.790314|0.554145|0.801699|0.102366|0.221237|0.144125|0.668561|0.673098|0.23207|0.928618,0.904667,0.887647,0.128239,0.443169,0.0828321,0.54922,0.253495,0.516004,0.226897,0.823074,78.9323,6.77635e-13,54008,0.832037,77.8406,9.63242e-13,32789,0.821844,0.944121,0.0443767,0.51828,0.332244,0.52747,0.0679451,0.544083,0.096402,0.818693,31.6275,1.97589e-13,52186,0.845045,89.7441,1.17089e-11,31003
10,10,n1->n2->n3->n13->n14->n4->n5->n6->n7->n8->n9->n10,5.00949e+11|1.80448e+11|4.03193e+13|3.3596e+12|4.27688e+09|1.24903e+13|1.51209e+10|9.02929e+10|4.11056e+10|9.40752e+09|4.09299e+12|1.05286e+12,1.42812e+11|2.83365e+10|7.28384e+12|4.83085e+11|1.0558e+09|5.17319e+12|1.22326e+10|1.02249e+10|4.31733e+09|3.97206e+09|1.54858e+12|2.54031e+11,3.0181e-05|2.2775e-05|0.000517639|5.37832e-05|0.000636693|0.000108675|0.000336804|0.000995263|0.000205358|0.000346789|1.37772e-05|0.000119811,0.000310334|0.000399313|0.000530329|0.00012197|0.00566749|0.000509645|0.000821598|0.00674185|0.00168599|0.000202733|0.00405437|0.0025508,0.00924861|0.00541507|0.00720975|0.0278304|0.0161796|0.00375279|0.0477712|0.0292399|0.0452155|0.0159192|0.0461418|0.0252238,0.0315742|0.00943238|0.0402354|0.0497469|0.0339305|0.0495486|0.00263917|0.0108922|0.0238427|0.04339|0.00266386|0.00700942,0.913495|0.989114|0.905667|0.940839|0.984185|0.916604|0.984899|0.926294|0.932747|0.948026|0.911519|0.908496,2.71048|4.18964|2.54377|6.22041|4.81843|1.60415|0.379676|2.82456|3.21396|3.34163|4.41064|2.75743,79.8117|37.015|83.9106|56.34|52.1141|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.202212|0.202219|0.213953|0.177304|0.23004|0.223931|0.218852|0.177423|0.21027|0.169273|0.243547,0.147038|0.790314|0.402307|0.349691|0.342514|0.801699|0.233286|0.668561|0.673098|0.23207|0.928618,0.904667,0.887647,0.128239,0.443169,0.0828321,0.54922,0.253495,0.516004,0.226897,0.823074,78.9323,6.77635e-13,54008,0.832037,77.8406,9.63242e-13,32789,0.821844,0.944121,0.0443767,0.51828,0.332244,0.52747,0.0679451,0.544083,0.096402,0.818693,31.6275,1.97589e-13,52186,0.845045,89.7441,1.17089e-11,31003
10,11,n1->n2->n3->n13->n14->n15->n16->n6->n7->n8->n9->n10,5.00949e+11|1.80448e+11|4.03193e+13|3.3596e+12|4.27688e+09|1.38797e+12|3.00334e+11|9.02929e+10|4.11056e+10|9.40752e+09|4.09299e+12|1.05286e+12,1.42812e+11|2.83365e+10|7.28384e+12|4.83085e+11|1.0558e+09|1.97223e+11|7.37672e+10|1.02249e+10|4.31733e+09|3.97206e+09|1.54858e+12|2.54031e+11,3.0181e-05|2.2775e-05|0.000517639|5.37832e-05|0.000636693|1.3996e-05|5.95091e-05|0.000995263|0.000205358|0.000346789|1.37772e-05|0.000119811,0.000310334|0.000399313|0.000530329|0.00012197|0.00566749|0.00169529|0.000170398|0.00674185|0.00168599|0.000202733|0.00405437|0.0025508,0.00924861|0.00541507|0.00720975|0.0278304|0.0161796|0.0250138|0.0432795|0.0292399|0.0452155|0.0159192|0.0461418|0.0252238,0.0315742|0.00943238|0.0402354|0.0497469|0.0339305|0.0119018|0.0304577|0.0108922|0.0238427|0.04339|0.00266386|0.00700942,0.913495|0.989114|0.905667|0.940839|0.984185|0.927813|0.91388|0.926294|0.932747|0.948026|0.911519|0.908496,2.71048|4.18964|2.54377|6.22041|4.81843|2.46356|2.66328|2.82456|3.21396|3.34163|4.41064|2.75743,79.8117|37.015|83.9106|56.34|92.5451|56.2706|50.0569|32.9383|55.4093|99.595|65.9961,0.202212|0.202219|0.213953|0.177304|0.219123|0.226874|0.238693|0.177423|0.21027|0.169273|0.243547,0.147038|0.790314|0.402307|0.349691|0.854651|0.221237|0.144125|0.668561|0.673098|0.23207|0.928618,0.904667,0.887647,0.128239,0.443169,0.0828321,0.54922,0.253495,0.516004,0.226897,0.823074,78.9323,6.77635e-13,54008,0.832037,77.8406,9.63242e-13,32789,0.821844,0.944121,0.0443767,0.51828,0.332244,0.52747,0.0679451,0.544083,0.096402,0.818693,31.6275,1.97589e-13,52186,0.845045,89.7441,1.17089e-11,31003
