DatasetID,PathID,PathString,node_t1,node_t2,node_p_depol_1q,node_p_depol_2q,node_coh1_angle,node_coh2_zz_angle,node_src_visibility,node_src_phase,edge_length,edge_attenuation,edge_insertion_loss_db,d1_coupling_1,d1_coupling_2,d1_mzi_phase_error,d1_mzi_loss_short,d1_mzi_loss_long,d1_bs1_reflectivity,d1_bs1_loss,d1_bs2_reflectivity,d1_bs2_loss,d1_snspd1_efficiency,d1_snspd1_jitter,d1_snspd1_dark,d1_snspd1_dead,d1_snspd2_efficiency,d1_snspd2_jitter,d1_snspd2_dark,d1_snspd2_dead,d2_coupling_1,d2_coupling_2,d2_mzi_phase_error,d2_mzi_loss_short,d2_mzi_loss_long,d2_bs1_reflectivity,d2_bs1_loss,d2_bs2_reflectivity,d2_bs2_loss,d2_snspd1_efficiency,d2_snspd1_jitter,d2_snspd1_dark,d2_snspd1_dead,d2_snspd2_efficiency,d2_snspd2_jitter,d2_snspd2_dark,d2_snspd2_dead
19,1,n1->n2->n3->n4->n5->n6->n7->n8->n9->n10,2.00562e+11|1.6626e+10|2.0892e+10|4.20415e+13|4.24904e+10|5.59885e+12|1.93311e+11|2.46249e+12|5.11382e+10|3.47191e+09,1.73885e+11|9.37491e+09|2.09222e+09|1.36602e+13|1.18733e+10|4.49987e+12|9.00526e+10|1.01552e+12|2.21951e+10|1.02408e+09,2.04912e-05|1.65601e-05|1.03176e-05|7.82227e-05|2.8242e-05|0.000431358|3.85662e-05|2.16637e-05|5.5049e-05|3.007e-05,0.00297727|0.00506033|0.00035414|0.00135574|0.00133561|0.000976864|0.000149598|0.00222661|0.000578653|0.000118472,0.0353994|0.00902873|0.0263427|0.0186073|0.0179179|0.0178222|0.0126529|0.00937001|0.0361364|0.0489517,0.0340764|0.019709|0.0242446|0.0105406|0.0437788|0.0331065|0.000724507|0.000297657|0.0301077|0.0367013,0.962971|0.991734|0.987579|0.979483|0.950194|0.977602|0.948396|0.992168|0.949246|0.920538,0.140167|3.64044|4.80094|4.27591|2.58698|6.14897|2.34461|0.169552|5.56889|2.52857,79.8117|37.015|10.4739|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.213629|0.248185|0.216074|0.199681|0.16221|0.246232|0.237159|0.214404|0.172775,0.599768|0.500156|0.533655|0.78166|0.100171|0.363234|0.722825|0.400305|0.479978,0.948424,0.899937,0.0786279,0.0508726,0.188381,0.541101,0.0946585,0.489388,0.0567611,0.913794,76.6631,4.84225e-10,60586,0.849614,16.3867,1.15995e-12,65653,0.994821,0.81584,0.058255,0.667236,0.574571,0.515169,0.138963,0.476704,0.144826,0.868677,73.8368,4.85847e-13,54653,0.972631,57.8615,8.88869e-13,94227
19,2,n1->n2->n12->n13->n14->n4->n5->n6->n7->n8->n9->n10,2.00562e+11|1.6626e+10|2.92315e+10|8.10773e+09|5.76372e+10|4.20415e+13|4.24904e+10|5.59885e+12|1.93311e+11|2.46249e+12|5.11382e+10|3.47191e+09,1.73885e+11|9.37491e+09|8.89036e+09|2.40781e+09|3.00739e+10|1.36602e+13|1.18733e+10|4.49987e+12|9.00526e+10|1.01552e+12|2.21951e+10|1.02408e+09,2.04912e-05|1.65601e-05|0.000585342|0.00028693|0.000128868|7.82227e-05|2.8242e-05|0.000431358|3.85662e-05|2.16637e-05|5.5049e-05|3.007e-05,0.00297727|0.00506033|0.00219416|0.000964425|0.000142932|0.00135574|0.00133561|0.000976864|0.000149598|0.00222661|0.000578653|0.000118472,0.0353994|0.00902873|0.031864|0.0156631|0.0234879|0.0186073|0.0179179|0.0178222|0.0126529|0.00937001|0.0361364|0.0489517,0.0340764|0.019709|0.0330279|0.0333165|0.00145819|0.0105406|0.0437788|0.0331065|0.000724507|0.000297657|0.0301077|0.0367013,0.962971|0.991734|0.987493|0.942772|0.975034|0.979483|0.950194|0.977602|0.948396|0.992168|0.949246|0.920538,0.140167|3.64044|3.2495|6.04958|4.61519|4.27591|2.58698|6.14897|2.34461|0.169552|5.56889|2.52857,79.8117|88.6198|13.9548|56.34|52.1141|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.213629|0.238704|0.193893|0.160271|0.239429|0.199681|0.16221|0.246232|0.237159|0.214404|0.172775,0.599768|0.443265|0.188603|0.527278|0.81059|0.78166|0.100171|0.363234|0.722825|0.400305|0.479978,0.948424,0.899937,0.0786279,0.0508726,0.188381,0.541101,0.0946585,0.489388,0.0567611,0.913794,76.6631,4.84225e-10,60586,0.849614,16.3867,1.15995e-12,65653,0.994821,0.81584,0.058255,0.667236,0.574571,0.515169,0.138963,0.476704,0.144826,0.868677,73.8368,4.85847e-13,54653,0.972631,57.8615,8.88869e-13,94227
19,3,n1->n2->n12->n13->n3->n4->n5->n6->n7->n8->n9->n10,2.00562e+11|1.6626e+10|2.92315e+10|8.10773e+09|2.0892e+10|4.20415e+13|4.24904e+10|5.59885e+12|1.93311e+11|2.46249e+12|5.11382e+10|3.47191e+09,1.73885e+11|9.37491e+09|8.89036e+09|2.40781e+09|2.09222e+09|1.36602e+13|1.18733e+10|4.49987e+12|9.00526e+10|1.01552e+12|2.21951e+10|1.02408e+09,2.04912e-05|1.65601e-05|0.000585342|0.00028693|1.03176e-05|7.82227e-05|2.8242e-05|0.000431358|3.85662e-05|2.16637e-05|5.5049e-05|3.007e-05,0.00297727|0.00506033|0.00219416|0.000964425|0.00035414|0.00135574|0.00133561|0.000976864|0.000149598|0.00222661|0.000578653|0.000118472,0.0353994|0.00902873|0.031864|0.0156631|0.0263427|0.0186073|0.0179179|0.0178222|0.0126529|0.00937001|0.0361364|0.0489517,0.0340764|0.019709|0.0330279|0.0333165|0.0242446|0.0105406|0.0437788|0.0331065|0.000724507|0.000297657|0.0301077|0.0367013,0.962971|0.991734|0.987493|0.942772|0.987579|0.979483|0.950194|0.977602|0.948396|0.992168|0.949246|0.920538,0.140167|3.64044|3.2495|6.04958|4.80094|4.27591|2.58698|6.14897|2.34461|0.169552|5.56889|2.52857,79.8117|88.6198|13.9548|83.9106|10.4739|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.213629|0.238704|0.193893|0.221976|0.216074|0.199681|0.16221|0.246232|0.237159|0.214404|0.172775,0.599768|0.443265|0.188603|0.90764|0.533655|0.78166|0.100171|0.363234|0.722825|0.400305|0.479978,0.948424,0.899937,0.0786279,0.0508726,0.188381,0.541101,0.0946585,0.489388,0.0567611,0.913794,76.6631,4.84225e-10,60586,0.849614,16.3867,1.15995e-12,65653,0.994821,0.81584,0.058255,0.667236,0.574571,0.515169,0.138963,0.476704,0.144826,0.868677,73.8368,4.85847e-13,54653,0.972631,57.8615,8.88869e-13,94227
19,4,n1->n11->n12->n2->n3->n4->n5->n6->n7->n8->n9->n10,2.00562e+11|1.34934e+10|2.92315e+10|1.6626e+10|2.0892e+10|4.20415e+13|4.24904e+10|5.59885e+12|1.93311e+11|2.46249e+12|5.11382e+10|3.47191e+09,1.73885e+11|6.53095e+09|8.89036e+09|9.37491e+09|2.09222e+09|1.36602e+13|1.18733e+10|4.49987e+12|9.00526e+10|1.01552e+12|2.21951e+10|1.02408e+09,2.04912e-05|5.0222e-05|0.000585342|1.65601e-05|1.03176e-05|7.82227e-05|2.8242e-05|0.000431358|3.85662e-05|2.16637e-05|5.5049e-05|3.007e-05,0.00297727|0.00691393|0.00219416|0.00506033|0.00035414|0.00135574|0.00133561|0.000976864|0.000149598|0.00222661|0.000578653|0.000118472,0.0353994|0.0103778|0.031864|0.00902873|0.0263427|0.0186073|0.0179179|0.0178222|0.0126529|0.00937001|0.0361364|0.0489517,0.0340764|0.0174913|0.0330279|0.019709|0.0242446|0.0105406|0.0437788|0.0331065|0.000724507|0.000297657|0.0301077|0.0367013,0.962971|0.988522|0.987493|0.991734|0.987579|0.979483|0.950194|0.977602|0.948396|0.992168|0.949246|0.920538,0.140167|5.55861|3.2495|3.64044|4.80094|4.27591|2.58698|6.14897|2.34461|0.169552|5.56889|2.52857,30.2686|24.4191|88.6198|37.015|10.4739|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.180355|0.16546|0.238704|0.248185|0.216074|0.199681|0.16221|0.246232|0.237159|0.214404|0.172775,0.56727|0.385933|0.443265|0.500156|0.533655|0.78166|0.100171|0.363234|0.722825|0.400305|0.479978,0.948424,0.899937,0.0786279,0.0508726,0.188381,0.541101,0.0946585,0.489388,0.0567611,0.913794,76.6631,4.84225e-10,60586,0.849614,16.3867,1.15995e-12,65653,0.994821,0.81584,0.058255,0.667236,0.574571,0.515169,0.138963,0.476704,0.144826,0.868677,73.8368,4.85847e-13,54653,0.972631,57.8615,8.88869e-13,94227
19,5,n1->n2->n12->n13->n14->n15->n5->n6->n7->n8->n9->n10,2.00562e+11|1.6626e+10|2.92315e+10|8.10773e+09|5.76372e+10|1.78879e+09|4.24904e+10|5.59885e+12|1.93311e+11|2.46249e+12|5.11382e+10|3.47191e+09,1.73885e+11|9.37491e+09|8.89036e+09|2.40781e+09|3.00739e+10|5.65267e+08|1.18733e+10|4.49987e+12|9.00526e+10|1.01552e+12|2.21951e+10|1.02408e+09,2.04912e-05|1.65601e-05|0.000585342|0.00028693|0.000128868|0.000837682|2.8242e-05|0.000431358|3.85662e-05|2.16637e-05|5.5049e-05|3.007e-05,0.00297727|0.00506033|0.00219416|0.000964425|0.000142932|0.000370918|0.00133561|0.000976864|0.000149598|0.00222661|0.000578653|0.000118472,0.0353994|0.00902873|0.031864|0.0156631|0.0234879|0.0452152|0.0179179|0.0178222|0.0126529|0.00937001|0.0361364|0.0489517,0.0340764|0.019709|0.0330279|0.0333165|0.00145819|0.00755463|0.0437788|0.0331065|0.000724507|0.000297657|0.0301077|0.0367013,0.962971|0.991734|0.987493|0.942772|0.975034|0.900627|0.950194|0.977602|0.948396|0.992168|0.949246|0.920538,0.140167|3.64044|3.2495|6.04958|4.61519|3.33336|2.58698|6.14897|2.34461|0.169552|5.56889|2.52857,79.8117|88.6198|13.9548|56.34|92.5451|35.0583|37.2729|32.9383|55.4093|99.595|65.9961,0.213629|0.238704|0.193893|0.160271|0.248676|0.239466|0.16221|0.246232|0.237159|0.214404|0.172775,0.599768|0.443265|0.188603|0.527278|0.859929|0.756382|0.100171|0.363234|0.722825|0.400305|0.479978,0.948424,0.899937,0.0786279,0.0508726,0.188381,0.541101,0.0946585,0.489388,0.0567611,0.913794,76.6631,4.84225e-10,60586,0.849614,16.3867,1.15995e-12,65653,0.994821,0.81584,0.058255,0.667236,0.574571,0.515169,0.138963,0.476704,0.144826,0.868677,73.8368,4.85847e-13,54653,0.972631,57.8615,8.88869e-13,94227
19,6,n1->n11->n12->n13->n3->n4->n5->n6->n7->n8->n9->n10,2.00562e+11|1.34934e+10|2.92315e+10|8.10773e+09|2.0892e+10|4.20415e+13|4.24904e+10|5.59885e+12|1.93311e+11|2.46249e+12|5.11382e+10|3.47191e+09,1.73885e+11|6.53095e+09|8.89036e+09|2.40781e+09|2.09222e+09|1.36602e+13|1.18733e+10|4.49987e+12|9.00526e+10|1.01552e+12|2.21951e+10|1.02408e+09,2.04912e-05|5.0222e-05|0.000585342|0.00028693|1.03176e-05|7.82227e-05|2.8242e-05|0.000431358|3.85662e-05|2.16637e-05|5.5049e-05|3.007e-05,0.00297727|0.00691393|0.00219416|0.000964425|0.00035414|0.00135574|0.00133561|0.000976864|0.000149598|0.00222661|0.000578653|0.000118472,0.0353994|0.0103778|0.031864|0.0156631|0.0263427|0.0186073|0.0179179|0.0178222|0.0126529|0.00937001|0.0361364|0.0489517,0.0340764|0.0174913|0.0330279|0.0333165|0.0242446|0.0105406|0.0437788|0.0331065|0.000724507|0.000297657|0.0301077|0.0367013,0.962971|0.988522|0.987493|0.942772|0.987579|0.979483|0.950194|0.977602|0.948396|0.992168|0.949246|0.920538,0.140167|5.55861|3.2495|6.04958|4.80094|4.27591|2.58698|6.14897|2.34461|0.169552|5.56889|2.52857,30.2686|24.4191|13.9548|83.9106|10.4739|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.180355|0.16546|0.193893|0.221976|0.216074|0.199681|0.16221|0.246232|0.237159|0.214404|0.172775,0.56727|0.385933|0.188603|0.90764|0.533655|0.78166|0.100171|0.363234|0.722825|0.400305|0.479978,0.948424,0.899937,0.0786279,0.0508726,0.188381,0.541101,0.0946585,0.489388,0.0567611,0.913794,76.6631,4.84225e-10,60586,0.849614,16.3867,1.15995e-12,65653,0.994821,0.81584,0.058255,0.667236,0.574571,0.515169,0.138963,0.476704,0.144826,0.868677,73.8368,4.85847e-13,54653,0.972631,57.8615,8.88869e-13,94227
19,7,n1->n2->n3->n4->n14->n15->n16->n6->n7->n8->n9->n10,2.00562e+11|1.6626e+10|2.0892e+10|4.20415e+13|5.76372e+10|1.78879e+09|1.57115e+10|5.59885e+12|1.93311e+11|2.46249e+12|5.11382e+10|3.47191e+09,1.73885e+11|9.37491e+09|2.09222e+09|1.36602e+13|3.00739e+10|5.65267e+08|1.18971e+10|4.49987e+12|9.00526e+10|1.01552e+12|2.21951e+10|1.02408e+09,2.04912e-05|1.65601e-05|1.03176e-05|7.82227e-05|0.000128868|0.000837682|0.000222763|0.000431358|3.85662e-05|2.16637e-05|5.5049e-05|3.007e-05,0.00297727|0.00506033|0.00035414|0.00135574|0.000142932|0.000370918|0.00236473|0.000976864|0.000149598|0.00222661|0.000578653|0.000118472,0.0353994|0.00902873|0.0263427|0.0186073|0.0234879|0.0452152|0.033664|0.0178222|0.0126529|0.00937001|0.0361364|0.0489517,0.0340764|0.019709|0.0242446|0.0105406|0.00145819|0.00755463|0.0339479|0.0331065|0.000724507|0.000297657|0.0301077|0.0367013,0.962971|0.991734|0.987579|0.979483|0.975034|0.900627|0.970976|0.977602|0.948396|0.992168|0.949246|0.920538,0.140167|3.64044|4.80094|4.27591|4.61519|3.33336|4.20903|6.14897|2.34461|0.169552|5.56889|2.52857,79.8117|37.015|10.4739|52.1141|92.5451|56.2706|50.0569|32.9383|55.4093|99.595|65.9961,0.213629|0.248185|0.216074|0.239429|0.248676|0.164303|0.230917|0.246232|0.237159|0.214404|0.172775,0.599768|0.500156|0.533655|0.81059|0.859929|0.852318|0.82137|0.363234|0.722825|0.400305|0.479978,0.948424,0.899937,0.0786279,0.0508726,0.188381,0.541101,0.0946585,0.489388,0.0567611,0.913794,76.6631,4.84225e-10,60586,0.849614,16.3867,1.15995e-12,65653,0.994821,0.81584,0.058255,0.667236,0.574571,0.515169,0.138963,0.476704,0.144826,0.868677,73.8368,4.85847e-13,54653,0.972631,57.8615,8.88869e-13,94227
19,8,n1->n11->n12->n13->n14->n15->n5->n6->n7->n8->n9->n10,2.00562e+11|1.34934e+10|2.92315e+10|8.10773e+09|5.76372e+10|1.78879e+09|4.24904e+10|5.59885e+12|1.93311e+11|2.46249e+12|5.11382e+10|3.47191e+09,1.73885e+11|6.53095e+09|8.89036e+09|2.40781e+09|3.00739e+10|5.65267e+08|1.18733e+10|4.49987e+12|9.00526e+10|1.01552e+12|2.21951e+10|1.02408e+09,2.04912e-05|5.0222e-05|0.000585342|0.00028693|0.000128868|0.000837682|2.8242e-05|0.000431358|3.85662e-05|2.16637e-05|5.5049e-05|3.007e-05,0.00297727|0.00691393|0.00219416|0.000964425|0.000142932|0.000370918|0.00133561|0.000976864|0.000149598|0.00222661|0.000578653|0.000118472,0.0353994|0.0103778|0.031864|0.0156631|0.0234879|0.0452152|0.0179179|0.0178222|0.0126529|0.00937001|0.0361364|0.0489517,0.0340764|0.0174913|0.0330279|0.0333165|0.00145819|0.00755463|0.0437788|0.0331065|0.000724507|0.000297657|0.0301077|0.0367013,0.962971|0.988522|0.987493|0.942772|0.975034|0.900627|0.950194|0.977602|0.948396|0.992168|0.949246|0.920538,0.140167|5.55861|3.2495|6.04958|4.61519|3.33336|2.58698|6.14897|2.34461|0.169552|5.56889|2.52857,30.2686|24.4191|13.9548|56.34|92.5451|35.0583|37.2729|32.9383|55.4093|99.595|65.9961,0.180355|0.16546|0.193893|0.160271|0.248676|0.239466|0.16221|0.246232|0.237159|0.214404|0.172775,0.56727|0.385933|0.188603|0.527278|0.859929|0.756382|0.100171|0.363234|0.722825|0.400305|0.479978,0.948424,0.899937,0.0786279,0.0508726,0.188381,0.541101,0.0946585,0.489388,0.0567611,0.913794,76.6631,4.84225e-10,60586,0.849614,16.3867,1.15995e-12,65653,0.994821,0.81584,0.058255,0.667236,0.574571,0.515169,0.138963,0.476704,0.144826,0.868677,73.8368,4.85847e-13,54653,0.972631,57.8615,8.88869e-13,94227
19,9,n1->n2->n3->n4->n5->n15->n16->n6->n7->n8->n9->n10,2.00562e+11|1.6626e+10|2.0892e+10|4.20415e+13|4.24904e+10|1.78879e+09|1.57115e+10|5.59885e+12|1.93311e+11|2.46249e+12|5.11382e+10|3.47191e+09,1.73885e+11|9.37491e+09|2.09222e+09|1.36602e+13|1.18733e+10|5.65267e+08|1.18971e+10|4.49987e+12|9.00526e+10|1.01552e+12|2.21951e+10|1.02408e+09,2.04912e-05|1.65601e-05|1.03176e-05|7.82227e-05|2.8242e-05|0.000837682|0.000222763|0.000431358|3.85662e-05|2.16637e-05|5.5049e-05|3.007e-05,0.00297727|0.00506033|0.00035414|0.00135574|0.00133561|0.000370918|0.00236473|0.000976864|0.000149598|0.00222661|0.000578653|0.000118472,0.0353994|0.00902873|0.0263427|0.0186073|0.0179179|0.0452152|0.033664|0.0178222|0.0126529|0.00937001|0.0361364|0.0489517,0.0340764|0.019709|0.0242446|0.0105406|0.0437788|0.00755463|0.0339479|0.0331065|0.000724507|0.000297657|0.0301077|0.0367013,0.962971|0.991734|0.987579|0.979483|0.950194|0.900627|0.970976|0.977602|0.948396|0.992168|0.949246|0.920538,0.140167|3.64044|4.80094|4.27591|2.58698|3.33336|4.20903|6.14897|2.34461|0.169552|5.56889|2.52857,79.8117|37.015|10.4739|81.7362|35.0583|56.2706|50.0569|32.9383|55.4093|99.595|65.9961,0.213629|0.248185|0.216074|0.199681|0.239466|0.164303|0.230917|0.246232|0.237159|0.214404|0.172775,0.599768|0.500156|0.533655|0.78166|0.756382|0.852318|0.82137|0.363234|0.722825|0.400305|0.479978,0.948424,0.899937,0.0786279,0.0508726,0.188381,0.541101,0.0946585,0.489388,0.0567611,0.913794,76.6631,4.84225e-10,60586,0.849614,16.3867,1.15995e-12,65653,0.994821,0.81584,0.058255,0.667236,0.574571,0.515169,0.138963,0.476704,0.144826,0.868677,73.8368,4.85847e-13,54653,0.972631,57.8615,8.88869e-13,94227
19,10,n1->n2->n3->n13->n14->n4->n5->n6->n7->n8->n9->n10,2.00562e+11|1.6626e+10|2.0892e+10|8.10773e+09|5.76372e+10|4.20415e+13|4.24904e+10|5.59885e+12|1.93311e+11|2.46249e+12|5.11382e+10|3.47191e+09,1.73885e+11|9.37491e+09|2.09222e+09|2.40781e+09|3.00739e+10|1.36602e+13|1.18733e+10|4.49987e+12|9.00526e+10|1.01552e+12|2.21951e+10|1.02408e+09,2.04912e-05|1.65601e-05|1.03176e-05|0.00028693|0.000128868|7.82227e-05|2.8242e-05|0.000431358|3.85662e-05|2.16637e-05|5.5049e-05|3.007e-05,0.00297727|0.00506033|0.00035414|0.000964425|0.000142932|0.00135574|0.00133561|0.000976864|0.000149598|0.00222661|0.000578653|0.000118472,0.0353994|0.00902873|0.0263427|0.0156631|0.0234879|0.0186073|0.0179179|0.0178222|0.0126529|0.00937001|0.0361364|0.0489517,0.0340764|0.019709|0.0242446|0.0333165|0.00145819|0.0105406|0.0437788|0.0331065|0.000724507|0.000297657|0.0301077|0.0367013,0.962971|0.991734|0.987579|0.942772|0.975034|0.979483|0.950194|0.977602|0.948396|0.992168|0.949246|0.920538,0.140167|3.64044|4.80094|6.04958|4.61519|4.27591|2.58698|6.14897|2.34461|0.169552|5.56889|2.52857,79.8117|37.015|83.9106|56.34|52.1141|81.7362|37.2729|32.9383|55.4093|99.595|65.9961,0.213629|0.248185|0.221976|0.160271|0.239429|0.199681|0.16221|0.246232|0.237159|0.214404|0.172775,0.599768|0.500156|0.90764|0.527278|0.81059|0.78166|0.100171|0.363234|0.722825|0.400305|0.479978,0.948424,0.899937,0.0786279,0.0508726,0.188381,0.541101,0.0946585,0.489388,0.0567611,0.913794,76.6631,4.84225e-10,60586,0.849614,16.3867,1.15995e-12,65653,0.994821,0.81584,0.058255,0.667236,0.574571,0.515169,0.138963,0.476704,0.144826,0.868677,73.8368,4.85847e-13,54653,0.972631,57.8615,8.88869e-13,94227
19,11,n1->n2->n3->n13->n14->n15->n16->n6->n7->n8->n9->n10,2.00562e+11|1.6626e+10|2.0892e+10|8.10773e+09|5.76372e+10|1.78879e+09|1.57115e+10|5.59885e+12|1.93311e+11|2.46249e+12|5.11382e+10|3.47191e+09,1.73885e+11|9.37491e+09|2.09222e+09|2.40781e+09|3.00739e+10|5.65267e+08|1.18971e+10|4.49987e+12|9.00526e+10|1.01552e+12|2.21951e+10|1.02408e+09,2.04912e-05|1.65601e-05|1.03176e-05|0.00028693|0.000128868|0.000837682|0.000222763|0.000431358|3.85662e-05|2.16637e-05|5.5049e-05|3.007e-05,0.00297727|0.00506033|0.00035414|0.000964425|0.000142932|0.000370918|0.00236473|0.000976864|0.000149598|0.00222661|0.000578653|0.000118472,0.0353994|0.00902873|0.0263427|0.0156631|0.0234879|0.0452152|0.033664|0.0178222|0.0126529|0.00937001|0.0361364|0.0489517,0.0340764|0.019709|0.0242446|0.0333165|0.00145819|0.00755463|0.0339479|0.0331065|0.000724507|0.000297657|0.0301077|0.0367013,0.962971|0.991734|0.987579|0.942772|0.975034|0.900627|0.970976|0.977602|0.948396|0.992168|0.949246|0.920538,0.140167|3.64044|4.80094|6.04958|4.61519|3.33336|4.20903|6.14897|2.34461|0.169552|5.56889|2.52857,79.8117|37.015|83.9106|56.34|92.5451|56.2706|50.0569|32.9383|55.4093|99.595|65.9961,0.213629|0.248185|0.221976|0.160271|0.248676|0.164303|0.230917|0.246232|0.237159|0.214404|0.172775,0.599768|0.500156|0.90764|0.527278|0.859929|0.852318|0.82137|0.363234|0.722825|0.400305|0.479978,0.948424,0.899937,0.0786279,0.0508726,0.188381,0.541101,0.0946585,0.489388,0.0567611,0.913794,76.6631,4.84225e-10,60586,0.849614,16.3867,1.15995e-12,65653,0.994821,0.81584,0.058255,0.667236,0.574571,0.515169,0.138963,0.476704,0.144826,0.868677,73.8368,4.85847e-13,54653,0.972631,57.8615,8.88869e-13,94227
