DatasetID,PathID,PathString,node_t1,node_t2,node_p_depol_1q,node_p_depol_2q,node_coh1_angle,node_coh2_zz_angle,node_src_visibility,node_src_phase,edge_length,edge_attenuation,edge_insertion_loss_db,d1_coupling_1,d1_coupling_2,d1_mzi_phase_error,d1_mzi_loss_short,d1_mzi_loss_long,d1_bs1_reflectivity,d1_bs1_loss,d1_bs2_reflectivity,d1_bs2_loss,d1_snspd1_efficiency,d1_snspd1_jitter,d1_snspd1_dark,d1_snspd1_dead,d1_snspd2_efficiency,d1_snspd2_jitter,d1_snspd2_dark,d1_snspd2_dead,d2_coupling_1,d2_coupling_2,d2_mzi_phase_error,d2_mzi_loss_short,d2_mzi_loss_long,d2_bs1_reflectivity,d2_bs1_loss,d2_bs2_reflectivity,d2_bs2_loss,d2_snspd1_efficiency,d2_snspd1_jitter,d2_snspd1_dark,d2_snspd1_dead,d2_snspd2_efficiency,d2_snspd2_jitter,d2_snspd2_dark,d2_snspd2_dead
4,1,S->D,1.04585e+09|2.91528e+10,2.9156e+08|2.25934e+10,4.66357e-05|0.000334307,0.000214776|0.00249104,0.0225545|0.0139303,0.0201185|0.0354472,0.972928|0.990074,5.6117|0.575287,12.2677,0.191653,0.731144,0.930513,0.824882,0.0443086,0.913318,0.0887345,0.490686,0.282751,0.545066,0.123361,0.920131,51.1071,1.03239e-10,12842,0.825948,65.2779,8.51548e-13,69945,0.870245,0.977329,0.122889,0.492838,0.772895,0.477114,0.148278,0.469748,0.258266,0.948152,91.1935,3.23525e-10,96364,0.841101,93.8642,1.92687e-11,48025
4,2,S->e0->D,1.04585e+09|1.67161e+10|2.91528e+10,2.9156e+08|1.71523e+09|2.25934e+10,4.66357e-05|0.000940268|0.000334307,0.000214776|0.000278589|0.00249104,0.0225545|0.0407438|0.0139303,0.0201185|0.00843224|0.0354472,0.972928|0.926942|0.990074,5.6117|2.62811|0.575287,77.6192|43.4967,0.169854|0.231158,0.185818|0.631192,0.930513,0.824882,0.0443086,0.913318,0.0887345,0.490686,0.282751,0.545066,0.123361,0.920131,51.1071,1.03239e-10,12842,0.825948,65.2779,8.51548e-13,69945,0.870245,0.977329,0.122889,0.492838,0.772895,0.477114,0.148278,0.469748,0.258266,0.948152,91.1935,3.23525e-10,96364,0.841101,93.8642,1.92687e-11,48025
4,3,S->a1->e0->D,1.04585e+09|6.33679e+11|1.67161e+10|2.91528e+10,2.9156e+08|1.39467e+11|1.71523e+09|2.25934e+10,4.66357e-05|3.77664e-05|0.000940268|0.000334307,0.000214776|0.000303829|0.000278589|0.00249104,0.0225545|0.0041214|0.0407438|0.0139303,0.0201185|0.0248282|0.00843224|0.0354472,0.972928|0.984337|0.926942|0.990074,5.6117|3.95936|2.62811|0.575287,66.2586|72.2829|43.4967,0.189355|0.178473|0.231158,0.311205|0.508253|0.631192,0.930513,0.824882,0.0443086,0.913318,0.0887345,0.490686,0.282751,0.545066,0.123361,0.920131,51.1071,1.03239e-10,12842,0.825948,65.2779,8.51548e-13,69945,0.870245,0.977329,0.122889,0.492838,0.772895,0.477114,0.148278,0.469748,0.258266,0.948152,91.1935,3.23525e-10,96364,0.841101,93.8642,1.92687e-11,48025
4,4,S->b1->e1->D,1.04585e+09|9.25783e+10|4.18821e+10|2.91528e+10,2.9156e+08|6.87453e+10|2.63257e+10|2.25934e+10,4.66357e-05|0.000238509|0.000822975|0.000334307,0.000214776|0.00116274|0.00563104|0.00249104,0.0225545|0.0193932|0.00767889|0.0139303,0.0201185|0.0406148|0.0388344|0.0354472,0.972928|0.967408|0.914055|0.990074,5.6117|2.94308|5.73894|0.575287,90.7492|86.2435|12.7315,0.195393|0.217685|0.173179,0.768099|0.708417|0.773111,0.930513,0.824882,0.0443086,0.913318,0.0887345,0.490686,0.282751,0.545066,0.123361,0.920131,51.1071,1.03239e-10,12842,0.825948,65.2779,8.51548e-13,69945,0.870245,0.977329,0.122889,0.492838,0.772895,0.477114,0.148278,0.469748,0.258266,0.948152,91.1935,3.23525e-10,96364,0.841101,93.8642,1.92687e-11,48025
4,5,S->a1->b2->e3->D,1.04585e+09|6.33679e+11|2.90016e+13|3.19012e+09|2.91528e+10,2.9156e+08|1.39467e+11|4.92459e+12|1.24734e+09|2.25934e+10,4.66357e-05|3.77664e-05|2.19171e-05|3.26814e-05|0.000334307,0.000214776|0.000303829|0.00193022|0.00121866|0.00249104,0.0225545|0.0041214|0.0485997|0.0160227|0.0139303,0.0201185|0.0248282|0.0123628|0.0141733|0.0354472,0.972928|0.984337|0.923719|0.954515|0.990074,5.6117|3.95936|0.876497|1.15182|0.575287,66.2586|65.9961|67.5745|97.0433,0.189355|0.215315|0.189833|0.185253,0.311205|0.545981|0.681784|0.39754,0.930513,0.824882,0.0443086,0.913318,0.0887345,0.490686,0.282751,0.545066,0.123361,0.920131,51.1071,1.03239e-10,12842,0.825948,65.2779,8.51548e-13,69945,0.870245,0.977329,0.122889,0.492838,0.772895,0.477114,0.148278,0.469748,0.258266,0.948152,91.1935,3.23525e-10,96364,0.841101,93.8642,1.92687e-11,48025
4,6,S->a1->a2->e2->D,1.04585e+09|6.33679e+11|4.02604e+11|3.88502e+11|2.91528e+10,2.9156e+08|1.39467e+11|1.08012e+11|8.42896e+10|2.25934e+10,4.66357e-05|3.77664e-05|8.48796e-05|2.06087e-05|0.000334307,0.000214776|0.000303829|0.000262153|0.000105589|0.00249104,0.0225545|0.0041214|0.0411468|0.0123973|0.0139303,0.0201185|0.0248282|0.00991915|0.045701|0.0354472,0.972928|0.984337|0.968079|0.97574|0.990074,5.6117|3.95936|4.77513|6.09339|0.575287,66.2586|79.8117|28.0546|21.0603,0.189355|0.202682|0.209213|0.191932,0.311205|0.613658|0.927178|0.111694,0.930513,0.824882,0.0443086,0.913318,0.0887345,0.490686,0.282751,0.545066,0.123361,0.920131,51.1071,1.03239e-10,12842,0.825948,65.2779,8.51548e-13,69945,0.870245,0.977329,0.122889,0.492838,0.772895,0.477114,0.148278,0.469748,0.258266,0.948152,91.1935,3.23525e-10,96364,0.841101,93.8642,1.92687e-11,48025
4,7,S->b1->b2->e3->D,1.04585e+09|9.25783e+10|2.90016e+13|3.19012e+09|2.91528e+10,2.9156e+08|6.87453e+10|4.92459e+12|1.24734e+09|2.25934e+10,4.66357e-05|0.000238509|2.19171e-05|3.26814e-05|0.000334307,0.000214776|0.00116274|0.00193022|0.00121866|0.00249104,0.0225545|0.0193932|0.0485997|0.0160227|0.0139303,0.0201185|0.0406148|0.0123628|0.0141733|0.0354472,0.972928|0.967408|0.923719|0.954515|0.990074,5.6117|2.94308|0.876497|1.15182|0.575287,90.7492|37.2729|67.5745|97.0433,0.195393|0.176588|0.189833|0.185253,0.768099|0.671987|0.681784|0.39754,0.930513,0.824882,0.0443086,0.913318,0.0887345,0.490686,0.282751,0.545066,0.123361,0.920131,51.1071,1.03239e-10,12842,0.825948,65.2779,8.51548e-13,69945,0.870245,0.977329,0.122889,0.492838,0.772895,0.477114,0.148278,0.469748,0.258266,0.948152,91.1935,3.23525e-10,96364,0.841101,93.8642,1.92687e-11,48025
4,8,S->b1->a2->e2->D,1.04585e+09|9.25783e+10|4.02604e+11|3.88502e+11|2.91528e+10,2.9156e+08|6.87453e+10|1.08012e+11|8.42896e+10|2.25934e+10,4.66357e-05|0.000238509|8.48796e-05|2.06087e-05|0.000334307,0.000214776|0.00116274|0.000262153|0.000105589|0.00249104,0.0225545|0.0193932|0.0411468|0.0123973|0.0139303,0.0201185|0.0406148|0.00991915|0.045701|0.0354472,0.972928|0.967408|0.968079|0.97574|0.990074,5.6117|2.94308|4.77513|6.09339|0.575287,90.7492|99.0064|28.0546|21.0603,0.195393|0.215561|0.209213|0.191932,0.768099|0.236497|0.927178|0.111694,0.930513,0.824882,0.0443086,0.913318,0.0887345,0.490686,0.282751,0.545066,0.123361,0.920131,51.1071,1.03239e-10,12842,0.825948,65.2779,8.51548e-13,69945,0.870245,0.977329,0.122889,0.492838,0.772895,0.477114,0.148278,0.469748,0.258266,0.948152,91.1935,3.23525e-10,96364,0.841101,93.8642,1.92687e-11,48025
4,9,S->a1->b2->a3->e4->D,1.04585e+09|6.33679e+11|2.90016e+13|7.48764e+11|2.2165e+11|2.91528e+10,2.9156e+08|1.39467e+11|4.92459e+12|5.46099e+11|9.91926e+10|2.25934e+10,4.66357e-05|3.77664e-05|2.19171e-05|3.82033e-05|1.80453e-05|0.000334307,0.000214776|0.000303829|0.00193022|0.00579742|0.00726421|0.00249104,0.0225545|0.0041214|0.0485997|0.0364705|0.0252862|0.0139303,0.0201185|0.0248282|0.0123628|0.0399375|0.0409764|0.0354472,0.972928|0.984337|0.923719|0.963135|0.962121|0.990074,5.6117|3.95936|0.876497|5.31773|4.46107|0.575287,66.2586|65.9961|24.4191|43.2583|69.1985,0.189355|0.215315|0.2138|0.238734|0.184682,0.311205|0.545981|0.497711|0.924452|0.830683,0.930513,0.824882,0.0443086,0.913318,0.0887345,0.490686,0.282751,0.545066,0.123361,0.920131,51.1071,1.03239e-10,12842,0.825948,65.2779,8.51548e-13,69945,0.870245,0.977329,0.122889,0.492838,0.772895,0.477114,0.148278,0.469748,0.258266,0.948152,91.1935,3.23525e-10,96364,0.841101,93.8642,1.92687e-11,48025
4,10,S->e0->t17->t18->e1->D,1.04585e+09|1.67161e+10|6.91088e+13|1.91089e+11|4.18821e+10|2.91528e+10,2.9156e+08|1.71523e+09|7.89105e+12|2.73037e+10|2.63257e+10|2.25934e+10,4.66357e-05|0.000940268|0.000701017|3.07778e-05|0.000822975|0.000334307,0.000214776|0.000278589|0.00136654|0.00511429|0.00563104|0.00249104,0.0225545|0.0407438|0.0352198|0.00172355|0.00767889|0.0139303,0.0201185|0.00843224|0.00745921|0.0354431|0.0388344|0.0354472,0.972928|0.926942|0.950672|0.994942|0.914055|0.990074,5.6117|2.62811|4.23181|0.0470171|5.73894|0.575287,77.6192|88.8597|37.0378|52.0957|12.7315,0.169854|0.228536|0.248401|0.242501|0.173179,0.185818|0.930465|0.96793|0.684453|0.773111,0.930513,0.824882,0.0443086,0.913318,0.0887345,0.490686,0.282751,0.545066,0.123361,0.920131,51.1071,1.03239e-10,12842,0.825948,65.2779,8.51548e-13,69945,0.870245,0.977329,0.122889,0.492838,0.772895,0.477114,0.148278,0.469748,0.258266,0.948152,91.1935,3.23525e-10,96364,0.841101,93.8642,1.92687e-11,48025
